ville;code_postal;latitude;longitude;department_name;region
bestiac;9250;42.785299496;1.799260845;ariège;occitanie
betchat;9160;43.084337113;1.02905351;ariège;occitanie
bezac;9100;43.152935541;1.5735185180000002;ariège;occitanie
bonac irazein;9800;42.840298273;0.982966446;ariège;occitanie
bouan;9310;42.792392257;1.643365341;ariège;occitanie
boussenac;9320;42.907697093;1.391199599;ariège;occitanie
burret;9000;42.951550607;1.472306905;ariège;occitanie
calzan;9120;43.033346295;1.741123428;ariège;occitanie
carla de roquefort;9300;42.975332692;1.7620467190000002;ariège;occitanie
castelnau durban;9420;42.992428714;1.338333517;ariège;occitanie
casteras;9130;43.127912251;1.403548506;ariège;occitanie
castex;9350;43.166036647;1.319505787;ariège;occitanie
cazaux;9120;43.052924497;1.519269138;ariège;occitanie
st maurice en valgodemard;5800;44.798496053;6.112547256;hautes-alpes;provence-alpes-côte d'azur
chassiers;7110;44.566071049;4.301942115;ardèche;auvergne-rhône-alpes
chazeaux;7110;44.595318348;4.298677117;ardèche;auvergne-rhône-alpes
cornas;7130;44.965893212;4.841157717;ardèche;auvergne-rhône-alpes
coux;7000;44.743230369;4.622473789;ardèche;auvergne-rhône-alpes
darbres;7170;44.659793314;4.515767253;ardèche;auvergne-rhône-alpes
dornas;7160;44.851597834;4.357764189;ardèche;auvergne-rhône-alpes
largentiere;7110;44.533435177;4.301173733;ardèche;auvergne-rhône-alpes
mariac;7160;44.885755486;4.353058652;ardèche;auvergne-rhône-alpes
montselgues;7140;44.533398573;4.003739641;ardèche;auvergne-rhône-alpes
privas;7000;44.722434276;4.594124449;ardèche;auvergne-rhône-alpes
rocles;7110;44.568283822;4.207891882;ardèche;auvergne-rhône-alpes
st cierge sous le cheylard;7160;44.926511605;4.453931301;ardèche;auvergne-rhône-alpes
st marcel les annonay;7100;45.2886497;4.629391603;ardèche;auvergne-rhône-alpes
st pierre st jean;7140;44.48245206;4.101861085;ardèche;auvergne-rhône-alpes
st pierreville;7190;44.818862746;4.481469211;ardèche;auvergne-rhône-alpes
les vans;7140;44.392227568;4.114704212;ardèche;auvergne-rhône-alpes
alieze;39270;46.585078016;5.58585556;jura;bourgogne-franche-comté
arinthod;39240;46.393818871;5.582269114;jura;bourgogne-franche-comté
arlay;39210;46.765371686;5.537548031;jura;bourgogne-franche-comté
la chailleuse;39270;46.581654364;5.526378282;jura;bourgogne-franche-comté
aumont;39800;46.916358761;5.633131722;jura;bourgogne-franche-comté
auxange;39700;47.177696691;5.654431375;jura;bourgogne-franche-comté
avignon les st claude;39200;46.401415232;5.841108907;jura;bourgogne-franche-comté
bans;39380;46.982403501;5.580664055;jura;bourgogne-franche-comté
baverans;39100;47.105995408;5.536574226;jura;bourgogne-franche-comté
beaufort orbagna;39190;46.585163377;5.434623271;jura;bourgogne-franche-comté
bellefontaine;39400;46.556551899;6.082359393;jura;bourgogne-franche-comté
belmont;39380;47.028201675;5.605061014;jura;bourgogne-franche-comté
bersaillin;39800;46.857207383;5.595263907;jura;bourgogne-franche-comté
bracon;39110;46.925701949;5.868310395;jura;bourgogne-franche-comté
buvilly;39800;46.869681049;5.725636745;jura;bourgogne-franche-comté
cernon;39240;46.412315932;5.643405536;jura;bourgogne-franche-comté
les chalesmes;39150;46.692139123;6.026439714;jura;bourgogne-franche-comté
charency;39250;46.766948662;5.991886106;jura;bourgogne-franche-comté
charezier;39130;46.614530533;5.726955677;jura;bourgogne-franche-comté
chateau chalon;39210;46.759243277;5.648414693;jura;bourgogne-franche-comté
le chateley;39230;46.879800002;5.5442929450000005;jura;bourgogne-franche-comté
chatillon;39130;46.663026475;5.727169626;jura;bourgogne-franche-comté
nanchez;39200;46.500781245;5.861824827;jura;bourgogne-franche-comté
chaux champagny;39110;46.884154623;5.879711162;jura;bourgogne-franche-comté
chille;39570;46.693041196;5.571909283;jura;bourgogne-franche-comté
chilly sur salins;39110;46.870199969;5.858210036;jura;bourgogne-franche-comté
chissey sur loue;39380;47.060399995;5.740191409;jura;bourgogne-franche-comté
commenailles;39140;46.805895385;5.437128703;jura;bourgogne-franche-comté
courlans;39570;46.676012788;5.487388674;jura;bourgogne-franche-comté
courlaoux;39570;46.669676119;5.449171257;jura;bourgogne-franche-comté
courtefontaine;39700;47.132677999;5.792778762;jura;bourgogne-franche-comté
coyron;39260;46.512641842;5.697033148;jura;bourgogne-franche-comté
hauteroche;39210;46.699491802;5.697212623;jura;bourgogne-franche-comté
crenans;39260;46.466529395;5.7419862340000005;jura;bourgogne-franche-comté
crissey;39100;47.051054482;5.478654585;jura;bourgogne-franche-comté
dampierre;39700;47.173242784;5.742542149;jura;bourgogne-franche-comté
denezieres;39130;46.623880768;5.801157366;jura;bourgogne-franche-comté
le deschaux;39120;46.950886325;5.498571507;jura;bourgogne-franche-comté
les deux fays;39230;46.885617586;5.487783703;jura;bourgogne-franche-comté
digna;39190;46.518360263;5.38498466;jura;bourgogne-franche-comté
dole;39100;47.075502708;5.500897034;jura;bourgogne-franche-comté
dompierre sur mont;39270;46.562417185;5.612866077;jura;bourgogne-franche-comté
dramelay;39240;46.404302536;5.52954359;jura;bourgogne-franche-comté
val d epy;39160;46.389785344;5.397605725;jura;bourgogne-franche-comté
val d epy;39320;46.389785344;5.397605725;jura;bourgogne-franche-comté
equevillon;39300;46.760836092;5.9428508650000005;jura;bourgogne-franche-comté
alos;9200;42.897888566;1.129211246;ariège;occitanie
etival;39130;46.492221957;5.793862303;jura;bourgogne-franche-comté
arignac;9400;42.87585768;1.595543477;ariège;occitanie
francheville;39230;46.836292538;5.502884384;jura;bourgogne-franche-comté
artigues;9460;42.689846976;2.037910827;ariège;occitanie
le frasnois;39130;46.636351633;5.890811397;jura;bourgogne-franche-comté
aulus les bains;9140;42.766542296;1.355768892;ariège;occitanie
geraise;39110;46.958660024;5.954886904;jura;bourgogne-franche-comté
balacet;9800;42.887117793;0.98278804;ariège;occitanie
germigney;39380;47.037391858;5.6858203320000005;jura;bourgogne-franche-comté
la bastide de bousignac;9500;43.058173549;1.884852447;ariège;occitanie
gevingey;39570;46.638116747;5.50962812;jura;bourgogne-franche-comté
la bastide de serou;9240;43.024895448;1.392649757;ariège;occitanie
grande riviere chateau;39150;46.528638867;5.909426948;jura;bourgogne-franche-comté
la bastide sur l hers;9600;42.950959843;1.89986243;ariège;occitanie
graye et charnay;39320;46.473281265;5.44835224;jura;bourgogne-franche-comté
belloc;9600;43.00739017;1.933669882;ariège;occitanie
ivrey;39110;46.989178766;5.896461266;jura;bourgogne-franche-comté
benaix;9300;42.895305448;1.850852879;ariège;occitanie
ladoye sur seille;39210;46.767223289;5.682794409;jura;bourgogne-franche-comté
bethmale;9800;42.853965958;1.07673861;ariège;occitanie
bordes uchentein;9800;42.837369269;1.032045893;ariège;occitanie
larnaud;39140;46.706103332;5.457630233;jura;bourgogne-franche-comté
brie;9700;43.206824744;1.517381142;ariège;occitanie
la latette;39250;46.752350191;6.095555289;jura;bourgogne-franche-comté
camarade;9290;43.069587717;1.277445001;ariège;occitanie
lavans les st claude;39170;46.38753267;5.769814173;jura;bourgogne-franche-comté
camon;9500;43.021739562;1.962204382;ariège;occitanie
lavans les st claude;39170;46.38753267;5.769814173;jura;bourgogne-franche-comté
carcanieres;9460;42.707804729;2.123895517;ariège;occitanie
lavans les st claude;39170;46.38753267;5.769814173;jura;bourgogne-franche-comté
cazals des bayles;9500;43.092880528;1.939678458;ariège;occitanie
lavigny;39210;46.716723376;5.605508663;jura;bourgogne-franche-comté
cerizols;9230;43.119836867;1.067612925;ariège;occitanie
lavigny;39210;46.716723376;5.605508663;jura;bourgogne-franche-comté
chateau verdun;9310;42.781483366;1.677300872;ariège;occitanie
lect;39260;46.394732447;5.672467609;jura;bourgogne-franche-comté
lemuy;39110;46.889451599;5.982617343;jura;bourgogne-franche-comté
lent;39300;46.75111933;5.976163891;jura;bourgogne-franche-comté
longcochon;39250;46.770954536;6.075184305;jura;bourgogne-franche-comté
la loye;39380;47.030432038;5.552809277;jura;bourgogne-franche-comté
marnezia;39270;46.575761446;5.636094441;jura;bourgogne-franche-comté
mesnay;39600;46.900018759;5.818250676;jura;bourgogne-franche-comté
mignovillard;39250;46.77774079;6.140716692;jura;bourgogne-franche-comté
mignovillard;39250;46.77774079;6.140716692;jura;bourgogne-franche-comté
molain;39800;46.825383647;5.816773193;jura;bourgogne-franche-comté
molay;39500;47.015340653;5.423234616;jura;bourgogne-franche-comté
monay;39230;46.83829832;5.5952518520000005;jura;bourgogne-franche-comté
monnieres;39100;47.114115559;5.460997029;jura;bourgogne-franche-comté
montholier;39800;46.894594959;5.639042641;jura;bourgogne-franche-comté
montigny les arsures;39600;46.937006746;5.776683918;jura;bourgogne-franche-comté
montigny sur l ain;39300;46.705139659;5.791865625;jura;bourgogne-franche-comté
montmirey la ville;39290;47.217230686;5.51656716;jura;bourgogne-franche-comté
montmirey le chateau;39290;47.229925885;5.533745481;jura;bourgogne-franche-comté
